iter	Logloss
0	0.5875627502
1	0.537190759
2	0.5064414904
3	0.4899086325
4	0.4806160415
5	0.4744654999
6	0.4687579676
7	0.4650668539
8	0.4619630488
9	0.4602352518
10	0.4588575241
11	0.4569240716
12	0.455572895
13	0.454785961
14	0.453161628
15	0.4516303953
16	0.4509194802
17	0.4496535968
18	0.4489665615
19	0.4485235293
20	0.4477901674
21	0.4470290507
22	0.4461479617
23	0.4454655006
24	0.4443923985
25	0.4436988401
26	0.443250156
27	0.4427649815
28	0.4424678192
29	0.4420730969
30	0.4404220753
31	0.4386322916
32	0.4380432404
33	0.4369207048
34	0.4357232739
35	0.4353009345
36	0.4327595494
37	0.4313634561
38	0.430784482
39	0.4303664187
40	0.4289282176
41	0.4267264351
42	0.4251531749
43	0.4235265031
44	0.4229061548
45	0.4221859652
46	0.4214614077
47	0.4207176134
48	0.4202739621
49	0.4197957922
50	0.4191422323
51	0.4185732892
52	0.4176210537
53	0.4138398776
54	0.412578213
55	0.4118272766
56	0.4112097714
57	0.4106739941
58	0.410600807
59	0.4103299778
60	0.4099060104
61	0.4085438511
62	0.4076780553
63	0.4069700291
64	0.4066428651
65	0.4062423649
66	0.4054077286
67	0.4049135433
68	0.4041341069
69	0.4036763203
70	0.402983553
71	0.4020340344
72	0.40134959
73	0.4010254984
74	0.4004913032
75	0.3997318374
76	0.398773159
77	0.398097542
78	0.397741901
79	0.3972660813
80	0.3968900226
81	0.3964123916
82	0.3960645921
83	0.3957375656
84	0.395146428
85	0.3949532799
86	0.3941467996
87	0.3935417445
88	0.3930214782
89	0.3922028574
90	0.3919501645
91	0.3913634176
92	0.3908041389
93	0.3903560624
94	0.3895873336
95	0.3891080631
96	0.3887208556
97	0.3884728458
98	0.3883286497
99	0.3877624065
