iter	Passed	Remaining
0	165	16348
1	187	9172
2	203	6591
3	214	5146
4	224	4266
5	234	3668
6	241	3215
7	249	2874
8	258	2609
9	265	2391
10	273	2215
11	281	2064
12	289	1935
13	297	1826
14	305	1729
15	313	1644
16	322	1572
17	331	1508
18	340	1450
19	347	1391
20	355	1337
21	363	1289
22	371	1242
23	378	1199
24	386	1159
25	394	1121
26	401	1085
27	409	1051
28	416	1019
29	423	989
30	431	960
31	439	934
32	447	908
33	455	884
34	463	860
35	471	837
36	479	816
37	487	795
38	494	773
39	503	755
40	510	735
41	518	716
42	526	697
43	534	680
44	541	662
45	549	645
46	557	628
47	565	612
48	572	595
49	579	579
50	587	564
51	595	549
52	603	535
53	611	520
54	619	506
55	627	492
56	634	478
57	641	464
58	652	453
59	659	439
60	667	426
61	675	413
62	683	401
63	691	388
64	698	376
65	705	363
66	713	351
67	721	339
68	729	327
69	736	315
70	744	304
71	752	292
72	760	281
73	768	269
74	775	258
75	783	247
76	791	236
77	799	225
78	806	214
79	814	203
80	822	192
81	829	182
82	837	171
83	844	160
84	852	150
85	860	140
86	868	129
87	875	119
88	883	109
89	891	99
90	898	88
91	906	78
92	914	68
93	922	58
94	930	48
95	939	39
96	947	29
97	955	19
98	963	9
99	972	0
